Tipo de Cera,Colección,Forma,Aroma,Quedan,Precio
Gel,Alcoholes,Cocktel,Frutilla,3,$14.000
Gel,Alcoholes,Cocktel,Naranja,3,$14.000
Gel,Alcoholes,Cocktel,Limón,2,$14.000
Soya,Alcoholes,Pisco Sour,Limón,1,$16.000
Gel,Alcoholes,Vino,Limón,4,$14.000
Soya,Alcoholes,Vino,Uva,1,$16.000
Parafina,Animales,Gato,Canela,0,$5.900
Parafina,Animales,Gato,Mango,4,$5.900
Parafina,Animales,Gato,Flamboyán,5,$5.900
Parafina,Animales,Gato,Café,2,$5.900
Abeja,Animales,Osito,Miel,13,$5.000
Parafina,Animales,Osito,Blanco,10,$3.500
Parafina,Animales,Osito,Rosa,4,$3.500
Parafina,Animales,Osito,Amarillo,14,$3.500
Parafina,Animales,Osito,Azul,5,$3.500
Parafina,Animales,Osito,Morado,6,$3.500
Parafina,Animales,Perro Peludo,Melisa,1,$14.000
Parafina,Animales,Perro Peludo,Mango,2,$14.000
Parafina,Animales,Perro Peludo,Canela,3,$14.000
Parafina,Animales,Perro Peludo,Flamboyán,1,$14.000
Parafina,Animales,Perro Peludo,Café,1,$14.000
Parafina,Animales,Pug,Mango,0,$12.000
Parafina,Animales,Pug,Canela,0,$12.000
Parafina,Animales,Pug,Famboyán,0,$12.000
Parafina,Animales,Pug,Vainilla,2,$12.000
Parafina,Animales,Salchicha,Café,0,$15.000
Parafina,Animales,Salchicha,Canela,2,$15.000
Soya,Cuidado Personal,Cuarzo,Lavanda,,$14.000
Soya,Cuidado Personal,Cuarzo,Vainilla Rosa Bulgara,,$14.000
Soya,Cuidado Personal,Cuarzo,Mykonos,,$14.000
Soya,Cuidado Personal,Masaje,Nunchy,1,$8.000
Soya,Cuidado Personal,Masaje,Mykonos,0,$8.000
Abeja,Cuidado Personal,Sixpack,Miel,8,$8.000
Abeja,Cuidado Personal,Unitario,Miel,18,$2.000
Otro,Difusores,Home Spry,Verbena Citric,,$12.000
Otro,Difusores,Home Spry,Warm Forest,,$12.000
Otro,Difusores,Home Spry,Berrys,,$12.000
Otro,Difusores,Mikado,Verbena Citric,,$17.000
Otro,Difusores,Mikado,Warm Forest,,$17.000
Otro,Difusores,Mikado,Berrys,,$17.000
Soya,Difusores,Vela Difusor,Verbena Citric,,$9.000
Soya,Difusores,Vela Difusor,Warm Forest,,$9.000
Soya,Difusores,Vela Difusor,Berrys,,$9.000
Coco,Ecologico,Frasco Ecologico,Almendra,5,$12.900
Coco,Ecologico,Frasco Ecologico,Vainilla Capuccino,0,$12.900
Coco,Ecologico,Frasco Ecologico,Petalos de Rosas,4,$12.900
Coco,Ecologico,Frasco Ecologico,Mirra,3,$12.900
Coco,Ecologico,Frasco Ecologico,Berrys,2,$12.900
Coco,Ecologico,Frasco Ecologico,Naranja,0,$12.900
Coco,Ecologico,Frasco Ecologico,Limón,5,$12.900
Palma,Ecologico,Frasco Ecologico,Melisa,,$12.900
Palma,Ecologico,Frasco Ecologico,Almendra,,$12.900
Palma,Ecologico,Frasco Ecologico,Petalos de Rosas,,$12.900
Palma,Ecologico,Frasco Ecologico,Mirra,,$12.900
Palma,Ecologico,Frasco Ecologico,Caramel Coffe,,$12.900
Palma,Ecologico,Frasco Ecologico,Manzana Canela,,$12.900
Palma,Ecologico,Frasco Ecologico,Limón,,$12.900
Palma,Ecologico,Frasco Ecologico,Brisa Marina,,$12.900
Palma,Ecologico,Frasco Ecologico,Coco Vainilla,,$12.900
Palma,Ecologico,Frasco Ecologico,Flamboyán,,$12.900
Palma,Ecologico,Frasco Ecologico,Berrys,,$12.900
Palma,Ecologico,Frasco Ecologico,Lavanda,,$12.900
Palma,Ecologico,Frasco Ecologico,Maracuyá,,$12.900
Palma,Ecologico,Frasco Ecologico,Jazmín,,$12.900
Palma,Navidad,Frasco Navidad,Coco,6,$6.000
Palma,Navidad,Frasco Navidad,Frutos Rojos,0,$6.000
Palma,Navidad,Frasco Navidad,Melisa,0,$6.000
Soya,Navidad,Frasco Navidad,Christmas,3,$16.000
Parafina,Navidad,Pinos,Frutos Rojos,0,$7.000
Parafina,Navidad,Pinos,Pino,0,$7.000
Parafina,Navidad,Pinos,Vainilla,0,$7.000
Soya,Navidad,Torta Navidad,Christmas Cake,0,$18.000
Soya,Navidad,Torta Navidad,Christmas Touch,0,$18.000
Soya,Otro,Estrellas,Frutos Rojos,,$14.000
Soya,Otro,Estrellas,Mykonos,,$14.000
Soya,Otro,Estrellas,Petalos de Rosas,,$14.000
Soya,Otro,Estrellas,Papaya,,$14.000
Soya,Otro,Miel Red.,Miel,,$12.000
Soya,Plantas,Cactus Peq.,Mykonos,,$8.000
Soya,Plantas,Cactus Red.,Mykonos,,$16.000
Soya,Plantas,Girasol Peq.,Nunchy,,$8.000
Soya,Plantas,Lavanda Peq.,Lavanda,,$8.000
Soya,Plantas,Peonia Caja,Vainilla Rosa Bulgara,5,$5.500
Soya,Plantas,Peonia Caja,Petalos de Rosas,6,$5.500
Soya,Plantas,Peonia Caja,Mykonos,4,$5.500
Soya,Plantas,Peonia Caja,Nunchy,5,$5.500
Soya,Plantas,Peonia Red.,Vainilla Rosa Bulgara,,$12.000
Soya,Plantas,Peonia Red.,Petalos de Rosas,,$12.000
Soya,Plantas,Peonia Red.,Lavanda,,$12.000
Soya,Plantas,Suculenta Peq.,Mykonos,,$8.000
Soya,Plantas,Terrarios,Meraky,,$16.000
Soya,Plantas,Terrarios,Vainilla Rosa Bulgara,,$16.000
Soya,Postres,Cupcake,Chocolate,,$10.000
Soya,Postres,Cupcake,Limón,,$10.000
Soya,Postres,Cupcake,Frutos Rojos,,$10.000
Soya,Postres,Cupcake,Papaya,,$10.000
Soya,Postres,Cupcake,Blue Berrys,,$10.000
Soya,Postres,Postre,Cherry Blossom,0,$16.000
Soya,Postres,Postre,Galleta,,$16.000
Soya,Postres,Postre Copa,Frutilla,0,$16.000
Soya,Postres,Postre Copa,Chocolate,4,$16.000
Soya,Postres,Postre Copa,Mandarina,0,$16.000
Soya,Postres,Postre Copa,Naranja,1,$16.000
Soya,Postres,Postre Vaso,Frutos Rojos,4,$16.000
Soya,Postres,Postre Vaso,Sandía,5,$16.000
Soya,Postres,Postre Vaso,Coco Lima,4,$16.000
Soya,Postres,Postre Vaso,Iced Moka,0,$16.000
